This file was generated by export.m on 31-May-2016 14:51:11
while on branch 'marius' at commit 5493fd1d0.

inpath: C:\Data\Marius\2015\150423\frame20x_Ph_chipII_chan2-1.5h.BTF
dimensions: 1um = 3.099px (20.0x) and 1sec = 20.0frames.
trackParams:
    maxdisp: 11
        mem: 0
        dim: 2
       good: 10
      quiet: 1

filterPreTrack:
    Area: [24.9699 149.8193]

filterPostTrack:
          length: [30 400]
    displacement: [30.9900 Inf]

filterPostTrackQuantile:
    mediancurvature: [0 0.9500]


======================================================================
x	y	time	index	isturn
1415.8	1456.1	1941	1210	0
1416.8	1451.7	1942	1210	0
1417	1447.9	1943	1210	0
1417.8	1443.4	1944	1210	0
1418.6	1439.9	1945	1210	0
1419.6	1436.5	1946	1210	0
1419.8	1433.2	1947	1210	0
1419.6	1429	1948	1210	0
1419	1425	1949	1210	0
1418.8	1421.8	1950	1210	0
1418.1	1419.5	1951	1210	1
1420.6	1422	1952	1210	0
1424.7	1426.7	1953	1210	0
1429	1429.5	1954	1210	1
1427.8	1428.4	1955	1210	0
1424.6	1425	1956	1210	0
1421.5	1423	1957	1210	0
1418.6	1420.6	1958	1210	0
1415.8	1417.8	1959	1210	0
1413.1	1415	1960	1210	0
1410.8	1411.8	1961	1210	0
1408.6	1408.6	1962	1210	0
1406.3	1406.2	1963	1210	0
1403.6	1403.6	1964	1210	0
1402	1400.5	1965	1210	0
1399.5	1397.3	1966	1210	0
1397.1	1395	1967	1210	0
1394.5	1392.4	1968	1210	0
1392.3	1390.3	1969	1210	0
1390.8	1386.8	1970	1210	0
1389.3	1383.5	1971	1210	0
1387.3	1381.3	1972	1210	0
1384.5	1379.1	1973	1210	0
1382	1377.1	1974	1210	1
1385.5	1379.5	1975	1210	0
1389.5	1381.5	1976	1210	0
1390.3	1382.8	1977	1210	0
1392.8	1383.8	1978	1210	0
1396.6	1385.6	1979	1210	0
1398.8	1386.3	1980	1210	0
1402.1	1388	1981	1210	0
1407.2	1390.8	1982	1210	0
1411.2	1393.8	1983	1210	0
1415.3	1396.3	1984	1210	0
1419.7	1399.7	1985	1210	0
1424	1403	1986	1210	0
1427.5	1406.5	1987	1210	0
1431	1409	1988	1210	0
1431.8	1410.8	1989	1210	0
1433.5	1412.5	1990	1210	0
1433.8	1413.8	1991	1210	0
1434.8	1415.1	1992	1210	0
1435.4	1417.4	1993	1210	0
1437.6	1421.5	1994	1210	0
1438.6	1425.9	1995	1210	0
1441.3	1430.3	1996	1210	0
1443.1	1433.9	1997	1210	0
1445.6	1437.6	1998	1210	0
1447.7	1441.1	1999	1210	0
1450.1	1443.9	2000	1210	0
1451.1	1445.7	2001	1210	0
1452.5	1446.7	2002	1210	0
1453.7	1449.1	2003	1210	0
1454.9	1451.2	2004	1210	0
1456.3	1454.3	2005	1210	1
1459	1456	2006	1210	1
1459.8	1458.1	2007	1210	1
1458.8	1457.7	2008	1210	1
1455.8	1454.1	2009	1210	0
1452.8	1450.8	2010	1210	0
1449.6	1447.6	2011	1210	0
1447	1443	2012	1210	0
1444.8	1437.8	2013	1210	0
1443.3	1434.7	2014	1210	0
1442.3	1431.3	2015	1210	0
1440.7	1427.8	2016	1210	0
1438.5	1424.7	2017	1210	0
1435.6	1421.6	2018	1210	0
1433	1419	2019	1210	0
1430.5	1416.7	2020	1210	0
1427.8	1414.3	2021	1210	0
1425.3	1413.1	2022	1210	0
1422.5	1411.6	2023	1210	0
1419.7	1410.9	2024	1210	0
1416.7	1408.8	2025	1210	0
1413.1	1407	2026	1210	0
1409.6	1405.6	2027	1210	0
1407.3	1404.1	2028	1210	0
1404.3	1403.3	2029	1210	0
1401.5	1402	2030	1210	0
1397.8	1401.8	2031	1210	0
1395.1	1400.7	2032	1210	0
1391.8	1399.8	2033	1210	0
1388.8	1399.4	2034	1210	0
1386.2	1398.9	2035	1210	0
1383.7	1397.4	2036	1210	0
1380.3	1396.8	2037	1210	0
1379	1395.6	2038	1210	0
1377.1	1394.5	2039	1210	0
1373.2	1393.8	2040	1210	0
1371.3	1392.8	2041	1210	0
1368.4	1392.2	2042	1210	0
1365.8	1391.8	2043	1210	0
1362.2	1392.3	2044	1210	1
1365.8	1394.4	2045	1210	0
1371.7	1396.3	2046	1210	0
1376.2	1399.4	2047	1210	0
1381	1401.6	2048	1210	0
1385.5	1403.4	2049	1210	0
1389.6	1405.7	2050	1210	0
1393.1	1408	2051	1210	0
1397.8	1410.8	2052	1210	0
1402	1414	2053	1210	0
1406.5	1416.4	2054	1210	0
1410.7	1417.8	2055	1210	0
1416.8	1418.4	2056	1210	0
1421.8	1419.8	2057	1210	0
1428	1421.2	2058	1210	0
1434.4	1421.7	2059	1210	0
1440.1	1421.7	2060	1210	0
1445.5	1422.2	2061	1210	0
1451.2	1422.8	2062	1210	0
1456.3	1423.8	2063	1210	0
1462.3	1425.8	2064	1210	0
1467.5	1428.1	2065	1210	0
1472.5	1430.6	2066	1210	0
1476	1433.5	2067	1210	0
1478.8	1436.2	2068	1210	0
1484	1440	2069	1210	0
1488.5	1444.1	2070	1210	0
1491.6	1448	2071	1210	0
1495.3	1451.8	2072	1210	0
1498.6	1455.6	2073	1210	0
1502.1	1458.1	2074	1210	0
1506	1461.1	2075	1210	0
1507.6	1463.5	2076	1210	1
1506.1	1460.9	2077	1210	0
1504.9	1457.3	2078	1210	0
1504.2	1454.2	2079	1210	0
1503.8	1449.7	2080	1210	0
1504	1444.5	2081	1210	0
1504.5	1439.3	2082	1210	0
1504.7	1434.6	2083	1210	0
1504.7	1429.5	2084	1210	0
1504.7	1423.7	2085	1210	0
1506.6	1418.5	2086	1210	0
1507.6	1413.7	2087	1210	0
1509.6	1409.1	2088	1210	0
1510	1405.5	2089	1210	0
1231.4	1373.7	512	379	0
1232.5	1378.5	513	379	0
1232.5	1382.5	514	379	0
1234.1	1387.3	515	379	0
1235.8	1392.3	516	379	0
1238	1395.5	517	379	0
1241.4	1398.6	518	379	0
1244.2	1400.8	519	379	0
1245.6	1404.5	520	379	0
1248.6	1408	521	379	0
1250.4	1411.8	522	379	0
1251.4	1413.5	523	379	1
1250.1	1410.6	524	379	0
1247.6	1408	525	379	0
1245.6	1405	526	379	0
1243.6	1402	527	379	0
1240.8	1399.4	528	379	0
1238.2	1396.5	529	379	0
1236.4	1394.4	530	379	0
1233.4	1391.8	531	379	0
1229.8	1389.3	532	379	0
1226.8	1386.4	533	379	0
1224.8	1383.3	534	379	0
1223.3	1380.7	535	379	0
1220.8	1377.3	536	379	0
1218.5	1374.7	537	379	0
1217.5	1371.5	538	379	0
1216.2	1368.8	539	379	0
1214.8	1365.3	540	379	0
1213.5	1361	541	379	0
1214	1358	542	379	0
1213.8	1355.3	543	379	0
1212.7	1353.3	544	379	0
1212.5	1352	545	379	0
1211.2	1349.8	546	379	0
1210.5	1347	547	379	0
1209.1	1344.5	548	379	0
1208.4	1342	549	379	0
1207.4	1339.7	550	379	0
1206.5	1337.5	551	379	0
1206.7	1335.5	552	379	0
1206.2	1332.8	553	379	0
1205.5	1329.5	554	379	0
1205	1326.5	555	379	0
1205	1324	556	379	0
1204.5	1322.5	557	379	0
1204.5	1320.3	558	379	0
1204.7	1317.5	559	379	0
1204.2	1314.7	560	379	0
1203.2	1311.7	561	379	0
1203	1309	562	379	0
1203	1306.9	563	379	0
1202	1303.5	564	379	0
1201.3	1300.5	565	379	0
1201	1298.1	566	379	0
1199.8	1294.7	567	379	0
1198.3	1291.5	568	379	0
1198.5	1287.7	569	379	0
1198	1285	570	379	0
1196.1	1281.3	571	379	0
1195.6	1278.8	572	379	0
1196.2	1275.6	573	379	0
1196	1272.9	574	379	0
1195.9	1269.8	575	379	0
1195.3	1266.7	576	379	0
1196.2	1263.7	577	379	0
1196	1260	578	379	0
1195	1255.9	579	379	0
1194.9	1253.3	580	379	0
1195	1250.3	581	379	0
1194.3	1246.7	582	379	0
1194.3	1244.7	583	379	1
1193.8	1248.1	584	379	0
1192.8	1253.2	585	379	0
1191.5	1257.5	586	379	0
1190	1261.5	587	379	0
1189.6	1265.2	588	379	0
1188.2	1270.4	589	379	0
1187.6	1273.8	590	379	0
1187	1277.5	591	379	0
1187	1282.5	592	379	0
1187.7	1285.7	593	379	0
1187.8	1288.2	594	379	1
1187.3	1289.3	595	379	1
1186	1289	596	379	1
1188	1285	597	379	0
1188.5	1282	598	379	0
1189.5	1279.5	599	379	0
1190.2	1276.4	600	379	0
1191.4	1273.7	601	379	0
1192.5	1271.5	602	379	0
1193.6	1270	603	379	0
1195.4	1267.8	604	379	0
1197.5	1265	605	379	0
1199	1263	606	379	0
1200.4	1260	607	379	0
1202.2	1257.2	608	379	0
1204	1255.6	609	379	0
1206	1253	610	379	0
1208	1251	611	379	0
1209.8	1248.2	612	379	0
1211	1246	613	379	0
1212.2	1244.2	614	379	0
1214.2	1241.3	615	379	0
1217	1239.6	616	379	0
1220	1238	617	379	0
1222	1237	618	379	0
1224.8	1235.8	619	379	0
1226.8	1233.8	620	379	0
1228.3	1230.9	621	379	0
1229.7	1228	622	379	0
1230.9	1225.5	623	379	0
1232.7	1223.1	624	379	0
1233.7	1221.1	625	379	0
1235	1219	626	379	0
1237.7	1217.1	627	379	0
1239.7	1216.1	628	379	0
1241.7	1215.2	629	379	0
1243.7	1213.1	630	379	0
1245.3	1211	631	379	1
1243.3	1212.2	632	379	0
1239.9	1214	633	379	0
1237	1216	634	379	0
1234.3	1218.2	635	379	0
1231.3	1219.6	636	379	0
1228.1	1222.8	637	379	0
1226	1225	638	379	0
1222.6	1228	639	379	0
1221	1230.4	640	379	0
1219.8	1231.8	641	379	1
1218.8	1231.6	642	379	1
1218.2	1231.8	643	379	1
1218.3	1230.3	644	379	0
1219.2	1228.2	645	379	0
1221	1225.6	646	379	0
1222	1223	647	379	0
1224.6	1220.8	648	379	0
1226.2	1218.2	649	379	0
1228.2	1215.2	650	379	0
1230.2	1211.6	651	379	0
1233	1209.4	652	379	0
1236	1207	653	379	0
1239	1204.5	654	379	0
1242	1202	655	379	0
364	390	548	380	0
364.5	389	549	380	0
364.84	386.84	550	380	0
364	385	551	380	0
363.73	383.5	552	380	1
364.5	382	553	380	1
366.33	381.88	554	380	1
366.5	382	555	380	1
367	382.22	556	380	0
368.8	382.88	557	380	0
370.5	383.21	558	380	0
371.5	383.21	559	380	0
372.63	383	560	380	0
373.38	382.69	561	380	0
373.69	383.62	562	380	0
374.21	384.5	563	380	0
374.48	385.11	564	380	1
374.5	385.21	565	380	0
374.13	385.78	566	380	0
373.76	386.68	567	380	1
374.48	388.39	568	380	0
375	389	569	380	0
374.12	389.67	570	380	1
374.5	390.79	571	380	1
374.5	391.79	572	380	1
374.21	391.5	573	380	1
376.81	387.81	574	380	0
378.52	384.89	575	380	1
379.19	384.45	576	380	0
381.22	381.96	577	380	0
383.81	377.81	578	380	0
387.5	374.5	579	380	0
390.07	372.21	580	380	0
393.67	367.12	581	380	0
395.79	362	582	380	0
397.57	356.57	583	380	0
401.16	351.16	584	380	0
404	346.86	585	380	0
407.5	342	586	380	0
411	338	587	380	0
415.79	333.36	588	380	0
419.3	330.3	589	380	0
423.5	327.5	590	380	0
428	324.5	591	380	0
432	321	592	380	0
435	317	593	380	0
437.5	313	594	380	1
438.3	312.3	595	380	1
436	315.5	596	380	1
432	318	597	380	0
429.3	321.3	598	380	0
425.72	324.83	599	380	0
423	328	600	380	0
419.16	332.16	601	380	0
416.68	336.24	602	380	0
413.15	340.3	603	380	0
408.64	343.24	604	380	0
404.35	346.65	605	380	0
400.5	349.5	606	380	0
397.65	352.35	607	380	0
393.68	355.44	608	380	0
390.81	358.81	609	380	0
387.5	363.5	610	380	0
385.65	367.35	611	380	0
383.87	371.22	612	380	0
382.44	375.68	613	380	0
382.39	380.07	614	380	0
380.24	384.68	615	380	0
378.72	388.66	616	380	0
378	392.5	617	380	0
378.12	396.67	618	380	0
377.67	401.12	619	380	1
378	398.86	620	380	0
378.88	394.33	621	380	0
380.41	389.48	622	380	0
382.59	384.52	623	380	0
385.12	379.67	624	380	0
387.16	376.16	625	380	0
388.48	373.13	626	380	1
387.12	374.67	627	380	0
386	377	628	380	0
385.27	379.5	629	380	0
385.73	381.5	630	380	0
385.12	384.67	631	380	0
385.27	387.5	632	380	0
386.12	391.33	633	380	0
387.52	394.13	634	380	0
